"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Michael Labetzke"," Bündnis 90/Die Grünen","Bremen","https://www.abgeordnetenwatch.de//profile/michael-labetzke"
"Karina Wächter"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/karina-waechter"
"Kathrin Tarricone"," FDP","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/kathrin-tarricone"
"Albrecht Schütte"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/albrecht-schuette"
"Helge Schwab"," FREIE WÄHLER","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/helge-schwab"
"Burkard Dregger"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/burkard-dregger"
"Philipp da Cunha"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/philipp-da-cunha"
"Heike Troles"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/heike-troles"
"Ralf Plötner"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/ralf-ploetner"
"Fabian Ehmann"," Bündnis 90/Die Grünen","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/fabian-ehmann"
"Tim Teßmann"," CDU","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/tim-tessmann"
"Jörg Vogelsänger"," SPD","Brandenburg","https://www.abgeordnetenwatch.de//profile/joerg-vogelsaenger"
"Ferat Koçak"," DIE LINKE","Berlin","https://www.abgeordnetenwatch.de//profile/ferat-kocak"
"Gunnar N. Lindemann"," AfD","Berlin","https://www.abgeordnetenwatch.de//profile/gunnar-n-lindemann"
"Ruth Müller"," SPD","Bayern","https://www.abgeordnetenwatch.de//profile/ruth-mueller"
"Stephan Weil"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/stephan-weil"
"Sebastian Walter"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/sebastian-walter"
"Heiko Miraß"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/heiko-mirass"
"Christoph Spies"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/christoph-spies"
"Matthias Miller"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/matthias-miller"
"Hedwig Tarner"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/hedwig-tarner"
"Peter Blumenrath"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/peter-blumenrath"
"Sophie Ramdor"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/sophie-ramdor"
"Simone Strohmayr"," SPD","Bayern","https://www.abgeordnetenwatch.de//profile/simone-strohmayr"
"Wiard Siebels"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/wiard-siebels"
"Marcus Klein"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/marcus-klein"
"Susanne Aschhoff"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/susanne-aschhoff"
"Dirk Brandes"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-brandes"
"Linda Vierecke"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/linda-vierecke"
"Sascha Lienesch"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/sascha-lienesch"
"Björn Meyer"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/bjoern-meyer"
"Christina Tasch"," CDU","Thüringen","https://www.abgeordnetenwatch.de//profile/christina-tasch"
"Markus Gleichmann"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/markus-gleichmann"
"Armin Waldbüßer"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/armin-waldbuesser"
"Patrick Rapp"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/patrick-rapp"
"Kathrin Anklam-Trapp"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/kathrin-anklam-trapp"
"Dietmar Panske"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/dietmar-panske"
"Josef Neumann"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/josef-neumann"
"Ottmar von Holtz"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ottmar-von-holtz"
"Sascha Bilay"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/sascha-bilay"
"Torsten Welling"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/torsten-welling"
"Susanne Müller"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/susanne-mueller"
"Alexander Saade"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/alexander-saade"
"Martin Sattelkau"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/martin-sattelkau"
"Gordan Dudas"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/gordan-dudas"
"Andrea Tschacher"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/andrea-tschacher"
"Andreas Keith-Volkmer"," AfD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/andreas-keith-volkmer"
"Michael Simon"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/michael-simon-1"
"Katrin Gensecke"," SPD","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/katrin-gensecke"
"Birgit Butter"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/birgit-butter"
"Sofia Leonidakis"," DIE LINKE","Bremen","https://www.abgeordnetenwatch.de//profile/sofia-leonidakis"
"Wolf-Dietrich Rost"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/wolf-dietrich-rost"
"Diana Lehmann"," SPD","Thüringen","https://www.abgeordnetenwatch.de//profile/diana-lehmann"
"Tobias Matthias Peterka"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/tobias-matthias-peterka"
"Tonka Wojahn"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/tonka-wojahn"
"Daniel Hagemeier"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/daniel-hagemeier"
"Christoph Bratmann"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christoph-bratmann"
"Tobias Vogt"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/tobias-vogt"
"Melanie Reinecke"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/melanie-reinecke"
"Martina Gießübel"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/martina-giessuebel"
"Michael Kretschmer"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/michael-kretschmer"
"Barbara Saebel"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/barbara-saebel"
"Sascha Binder"," SPD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/sascha-binder"
"Carsten Schatz"," DIE LINKE","Berlin","https://www.abgeordnetenwatch.de//profile/carsten-schatz"
"Martina Feldmayer"," Bündnis 90/Die Grünen","Hessen","https://www.abgeordnetenwatch.de//profile/martina-feldmayer"
"Thomas Würdisch"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/thomas-wuerdisch"
"Heinrich Frieling"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/heinrich-frieling"
"Guido Déus"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/guido-deus"
"Alex Dorow"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/alex-dorow"
"Stephan Christ"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/stephan-christ"
"Harald Weyel"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/harald-weyel"
"Benjamin Miskowitsch"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/benjamin-miskowitsch"
"Oliver Ulloth"," SPD","Hessen","https://www.abgeordnetenwatch.de//profile/oliver-ulloth"
"Marika Tändler-Walenta"," DIE LINKE","Sachsen","https://www.abgeordnetenwatch.de//profile/marika-taendler-walenta"
"Martina Jost"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/martina-jost"
"Sönke Siebke"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/soenke-siebke"
"Joachim Konrad"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/joachim-konrad"
"Martin Rabanus"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/martin-rabanus"
"Hermino Katzenstein"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/hermino-katzenstein"
"Andreas Schumann"," CDU","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/andreas-schumann"
"Dennis Maelzer"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/dennis-maelzer"
"Ole-Christopher Plambeck"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/ole-christopher-plambeck"
"Raphael Schäfer"," CDU","Saarland","https://www.abgeordnetenwatch.de//profile/raphael-schaefer"
"Dorothea Frederking"," Bündnis 90/Die Grünen","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/dorothea-frederking"
"Tino Schopf"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/tino-schopf"
"Eva von Angern"," DIE LINKE","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/eva-von-angern"
"Christina Osei"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/christina-osei"
"Frank Börner"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/frank-boerner"
"Ina Scharrenbach"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/ina-scharrenbach"
"Kai Dolgner"," SPD","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/kai-dolgner"
"Wolfgang Hauber"," FREIE WÄHLER","Bayern","https://www.abgeordnetenwatch.de//profile/wolfgang-hauber"
"Ario Ebrahimpour Mirzaie"," Bündnis 90/Die Grünen","Berlin","https://www.abgeordnetenwatch.de//profile/ario-ebrahimpour-mirzaie"
"Sophia Schiebe"," SPD","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/sophia-schiebe"
"Zacharias Schalley"," AfD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/zacharias-schalley"
"Matthias Eggers"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/matthias-eggers"
"Thomas Barth"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/thomas-barth"
"Dorothea Marx"," SPD","Thüringen","https://www.abgeordnetenwatch.de//profile/dorothea-marx"
"Ingo Wellenreuther"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ingo-wellenreuther"
"Ingrid Pahlmann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/ingrid-pahlmann"
"Alexander Fuhr"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/alexander-fuhr"
"Marion Schneid"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/marion-schneid"
"Anja von Marenholtz-Diemer"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/anja-von-marenholtz-diemer"
"Tobias Reiß"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/tobias-reiss"
"Ralf Nolten"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/ralf-nolten"
"Christoph Plett"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christoph-plett"
"Markus Brinkmann"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/markus-brinkmann"
"Oliver Lottke"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/oliver-lottke"
"Helmut Martin"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/helmut-martin"
"Sanne Kurz"," Bündnis 90/Die Grünen","Bayern","https://www.abgeordnetenwatch.de//profile/sanne-kurz"
"Stefan Naas"," FDP","Hessen","https://www.abgeordnetenwatch.de//profile/stefan-naas"
"Tobias Keller"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/tobias-keller"
"Susan Leithoff"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/susan-leithoff"
"Nicole Anger"," DIE LINKE","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/nicole-anger"
"Wiebke Neumann"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/wiebke-neumann-0"
"Lena Nzume"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/lena-nzume"
"Daniel Artmann"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/daniel-artmann"
"Luise Neuhaus-Wartenberg"," DIE LINKE","Sachsen","https://www.abgeordnetenwatch.de//profile/luise-neuhaus-wartenberg"
"David Erkalp"," CDU","Hamburg","https://www.abgeordnetenwatch.de//profile/david-erkalp"
"Bernd Gögel"," AfD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/bernd-goegel"
"Nicole Razavi"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nicole-razavi"
"Elke Breitenbach"," DIE LINKE","Berlin","https://www.abgeordnetenwatch.de//profile/elke-breitenbach"
"Nils Saemann"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/nils-saemann"
"Enrico Komning"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/enrico-komning"
"Josefine Koebe"," SPD","Hessen","https://www.abgeordnetenwatch.de//profile/josefine-koebe"
"Werner Stieglitz"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/werner-stieglitz"
"Kerstin Nicolaus"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/kerstin-nicolaus"
"Martin Haller"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/martin-haller"
"Elke-Annette Schmidt"," DIE LINKE","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/elke-annette-schmidt"
"Peter Lehnert"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/peter-lehnert"
"Robert Lambrou"," AfD","Hessen","https://www.abgeordnetenwatch.de//profile/robert-lambrou"
"Reinhold Hilbers"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/reinhold-hilbers"
"Anja Wagner-Scheid"," CDU","Saarland","https://www.abgeordnetenwatch.de//profile/anja-wagner-scheid"
"Alexander Wiesner"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/alexander-wiesner"
"Jörg Mehldau"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/joerg-mehldau"
"Andreas Sturm"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-sturm"
"Kristine Lütke"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/kristine-luetke"
"Marlon Bröhr"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/marlon-broehr"
"Sandra Khalatbari"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/sandra-khalatbari"
"Christine Klingohr"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/christine-klingohr"
"Alexander Baer"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/alexander-baer"
"Meral Thoms"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/meral-thoms"
"Christoph Willeke"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christoph-willeke"
"Sascha Schnürer"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/sascha-schnuerer"
"Tobias Beck"," FREIE WÄHLER","Bayern","https://www.abgeordnetenwatch.de//profile/tobias-beck-0"
"Silvia Breher"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/silvia-breher"
"Thomas Hentschel"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/thomas-hentschel"
"Jörn Schepelmann"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/joern-schepelmann"
"Thomas Lippmann"," DIE LINKE","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/thomas-lippmann"
"Johann Müller"," AfD","Bayern","https://www.abgeordnetenwatch.de//profile/johann-mueller"
"Sven Meyer"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/sven-meyer"
"Jan-Wilhelm Pohlmann"," CDU","Hessen","https://www.abgeordnetenwatch.de//profile/jan-wilhelm-pohlmann"
"Rodion Bakum"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/rodion-bakum"
"Markus Höner"," CDU","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/markus-hoener"
"Oliver Brandt"," Bündnis 90/Die Grünen","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/oliver-brandt"
"Saskia Buschmann"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/saskia-buschmann"
"Jan Redmann"," CDU","Brandenburg","https://www.abgeordnetenwatch.de//profile/jan-redmann"
"Sebastian Gemkow"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/sebastian-gemkow"
"Volker Emde"," CDU","Thüringen","https://www.abgeordnetenwatch.de//profile/volker-emde"
"Martin Grath"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/martin-grath"
"Barbara Richstein"," CDU","Brandenburg","https://www.abgeordnetenwatch.de//profile/barbara-richstein"
"Thomas Huber"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/thomas-huber"
"Mathias Wagner"," Bündnis 90/Die Grünen","Hessen","https://www.abgeordnetenwatch.de//profile/mathias-wagner"
"Marcus Bosse"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/marcus-bosse"
"Ulrike Scharf"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/ulrike-scharf"
"Sebastian Zinke"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/sebastian-zinke"
"Alexander Wiesner"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/alexander-wiesner"
"Jörg Mehldau"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/joerg-mehldau"
"Andreas Sturm"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-sturm"
"Kristine Lütke"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/kristine-luetke"
"Marlon Bröhr"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/marlon-broehr"
"Sandra Khalatbari"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/sandra-khalatbari"
"Christine Klingohr"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/christine-klingohr"
"Alexander Baer"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/alexander-baer"
"Meral Thoms"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/meral-thoms"
"Christoph Willeke"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christoph-willeke"
"Sascha Schnürer"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/sascha-schnuerer"
"Julia Post"," Bündnis 90/Die Grünen","Bayern","https://www.abgeordnetenwatch.de//profile/julia-post"
"Alexander Dierks"," CDU","Sachsen","https://www.abgeordnetenwatch.de//profile/alexander-dierks"
"Raymond Walk"," CDU","Thüringen","https://www.abgeordnetenwatch.de//profile/raymond-walk"
"Torsten Wolf"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/torsten-wolf"
"Dorothee Bär"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/dorothee-baer"
"Raimund Haser"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/raimund-haser"
"Nicole Hoffmeister-Kraut"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nicole-hoffmeister-kraut"
"Torsten Wolf"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/torsten-wolf"
"Dorothee Bär"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/dorothee-baer"
"Raimund Haser"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/raimund-haser"
"Nicole Hoffmeister-Kraut"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/nicole-hoffmeister-kraut"
"Elke-Annette Schmidt"," DIE LINKE","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/elke-annette-schmidt"
"Peter Lehnert"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/peter-lehnert"
"Robert Lambrou"," AfD","Hessen","https://www.abgeordnetenwatch.de//profile/robert-lambrou"
"Reinhold Hilbers"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/reinhold-hilbers"
"Anja Wagner-Scheid"," CDU","Saarland","https://www.abgeordnetenwatch.de//profile/anja-wagner-scheid"
"Alexander Wiesner"," AfD","Sachsen","https://www.abgeordnetenwatch.de//profile/alexander-wiesner"
"Jörg Mehldau"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/joerg-mehldau"
"Andreas Sturm"," CDU","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-sturm"
"Kristine Lütke"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/kristine-luetke"
"Marlon Bröhr"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/marlon-broehr"
"Sandra Khalatbari"," CDU","Berlin","https://www.abgeordnetenwatch.de//profile/sandra-khalatbari"
"Christine Klingohr"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/christine-klingohr"
"Alexander Baer"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/alexander-baer"
"Meral Thoms"," Bündnis 90/Die Grünen","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/meral-thoms"
"Christoph Willeke"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christoph-willeke"
"Sascha Schnürer"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/sascha-schnuerer"
"Carl-Julius Cronenberg"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/carl-julius-cronenberg"
"Matthias Lieschke"," AfD","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/matthias-lieschke"
"Anton Schuberl"," Bündnis 90/Die Grünen","Bayern","https://www.abgeordnetenwatch.de//profile/anton-schuberl"
"Niels Geuking"," FAMILIEN-PARTEI","EU-Parlament","https://www.abgeordnetenwatch.de//profile/niels-geuking"
"Peter Seimer"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/peter-seimer"
"Tamara Müller"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/tamara-mueller"
"Thorsten Rudolph"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/thorsten-rudolph"
"Hermann Junghans"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/hermann-junghans"
"Cornelia Schmachtenberg"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/cornelia-schmachtenberg"
"Christian Frölich"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christian-froelich"
"Ralph Saxe"," Bündnis 90/Die Grünen","Bremen","https://www.abgeordnetenwatch.de//profile/ralph-saxe"
"Dietrich Monstadt"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/dietrich-monstadt"
"Martina Tegtmeier"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/martina-tegtmeier"
"Falko Beitz"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/falko-beitz"
"Daniel Sturm"," CDU","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/daniel-sturm"
"Sonja Bongers"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/sonja-bongers"
"Lasse Petersdotter"," Bündnis 90/Die Grünen","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/lasse-petersdotter"
"Bernd Althusmann"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/bernd-althusmann"
"Uli Watermann"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/uli-watermann"
"Christof Reichert"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/christof-reichert"
"Niels Geuking"," FAMILIEN-PARTEI","EU-Parlament","https://www.abgeordnetenwatch.de//profile/niels-geuking"
"Katja Poschmann"," SPD","Brandenburg","https://www.abgeordnetenwatch.de//profile/katja-poschmann"
"Rudi Fischer"," FDP","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/rudi-fischer"
"Sascha Haas"," SPD","Saarland","https://www.abgeordnetenwatch.de//profile/sascha-haas"
"Bina Braun"," Bündnis 90/Die Grünen","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/bina-braun"
"Jan Henner Putzier"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/jan-henner-putzier"
"Andreas Kaufmann"," CSU","Bayern","https://www.abgeordnetenwatch.de//profile/andreas-kaufmann"
"Ralph Saxe"," Bündnis 90/Die Grünen","Bremen","https://www.abgeordnetenwatch.de//profile/ralph-saxe"
"Dietrich Monstadt"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/dietrich-monstadt"
"Martina Tegtmeier"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/martina-tegtmeier"
"Falko Beitz"," SPD","Mecklenburg-Vorpommern","https://www.abgeordnetenwatch.de//profile/falko-beitz"
"Daniel Sturm"," CDU","Sachsen-Anhalt","https://www.abgeordnetenwatch.de//profile/daniel-sturm"
"Sonja Bongers"," SPD","Nordrhein-Westfalen","https://www.abgeordnetenwatch.de//profile/sonja-bongers"
"Lasse Petersdotter"," Bündnis 90/Die Grünen","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/lasse-petersdotter"
"Bernd Althusmann"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/bernd-althusmann"
"Uli Watermann"," SPD","Niedersachsen","https://www.abgeordnetenwatch.de//profile/uli-watermann"
"Christof Reichert"," CDU","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/christof-reichert"
"Peter Seimer"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/peter-seimer"
"Tamara Müller"," SPD","Rheinland-Pfalz","https://www.abgeordnetenwatch.de//profile/tamara-mueller"
"Thorsten Rudolph"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/thorsten-rudolph"
"Hermann Junghans"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/hermann-junghans"
"Cornelia Schmachtenberg"," CDU","Schleswig-Holstein","https://www.abgeordnetenwatch.de//profile/cornelia-schmachtenberg"
"Christian Frölich"," CDU","Niedersachsen","https://www.abgeordnetenwatch.de//profile/christian-froelich"
"Martin Rivoir"," SPD","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/martin-rivoir"
