"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Reem Alabali-Radovan"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/reem-alabali-radovan"
"Ariane Fäscher"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ariane-faescher"
"Özlem Demirel"," DIE LINKE","EU-Parlament","https://www.abgeordnetenwatch.de//profile/oezlem-demirel"
"Ole Thorben Buschhüter"," SPD","Hamburg","https://www.abgeordnetenwatch.de//profile/ole-thorben-buschhueter"
"Erwin Rüddel"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/erwin-rueddel"
"Ska Keller"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/ska-keller"
"Claudia Raffelhüschen"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/claudia-raffelhueschen"
"Dorothee Martin"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dorothee-martin"
"Christoph Ploß"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-ploss"
"Paula Piechotta"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/paula-piechotta"
"Johannes Vogel"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/johannes-vogel"
"Joana Cotar"," parteilos","Bundestag","https://www.abgeordnetenwatch.de//profile/joana-cotar"
"Sebastian Fiedler"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-fiedler"
"Maria Noichl"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/maria-noichl"
"Franziska Brantner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/franziska-brantner"
"Dirk Heidenblut"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dirk-heidenblut"
"Michael Kruse"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kruse"
