Name,Party,Parliament,Profile
"30","Filiz Polat"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/filiz-polat/fragen-antworten?page=0"
"31","Beatrix von Storch"," AfD","Bundestag","https://www.abgeordnetenwatch.de//profile/beatrix-von-storch/fragen-antworten?page=0"
"32","Michael Roth"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-roth/fragen-antworten?page=0"
"33","Konstantin von Notz"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/konstantin-von-notz/fragen-antworten?page=0"
"34","Lars Castellucci"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lars-castellucci/fragen-antworten?page=0"
"35","Lars Klingbeil"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/lars-klingbeil/fragen-antworten?page=0"
"36","Lisa Badum"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/lisa-badum/fragen-antworten?page=0"
"37","Katharina Dröge"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/katharina-droege/fragen-antworten?page=0"
"38","Emilia Fester"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/emilia-fester/fragen-antworten?page=0"
"39","Konstantin Kuhle"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/konstantin-kuhle/fragen-antworten?page=0"
"40","Christian Dürr"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christian-duerr/fragen-antworten?page=0"
"41","Mahmut Özdemir"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/mahmut-oezdemir/fragen-antworten?page=0"
"42","Ralf Stegner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/ralf-stegner/fragen-antworten?page=0"
"43","Britta Haßelmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/britta-hasselmann/fragen-antworten?page=0"
"44","Markus Ferber"," CSU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/markus-ferber/fragen-antworten?page=0"
"45","Paul Ziemiak"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/paul-ziemiak/fragen-antworten?page=0"
"46","Amira Mohamed Ali"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/amira-mohamed-ali/fragen-antworten?page=0"
"47","Sahra Wagenknecht"," BSW","Bundestag","https://www.abgeordnetenwatch.de//profile/sahra-wagenknecht/fragen-antworten?page=0"
"48","Andrew Ullmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/andrew-ullmann/fragen-antworten?page=0"
"49","Svenja Schulze"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/svenja-schulze/fragen-antworten?page=0"
"50","Tiemo Wölken"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/tiemo-woelken/fragen-antworten?page=0"
"51","Ingrid Nestle"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/ingrid-nestle/fragen-antworten?page=0"
"52","Katrin Helling-Plahr"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/katrin-helling-plahr/fragen-antworten?page=0"
"53","Julia Klöckner"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/julia-kloeckner/fragen-antworten?page=0"
"54","Rasmus Andresen"," Bündnis 90/Die Grünen","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rasmus-andresen/fragen-antworten?page=0"
"55","Linda Heitmann"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/linda-heitmann/fragen-antworten?page=0"
"56","Christoph Hoffmann"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/christoph-hoffmann/fragen-antworten?page=0"
"57","Patrick Breyer"," PIRATEN","EU-Parlament","https://www.abgeordnetenwatch.de//profile/patrick-breyer/fragen-antworten?page=0"
"58","Jamila Anna Schäfer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/jamila-anna-schaefer/fragen-antworten?page=0"
"59","Zoe Mayer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/zoe-mayer/fragen-antworten?page=0"
"60","Bodo Ramelow"," DIE LINKE","Thüringen","https://www.abgeordnetenwatch.de//profile/bodo-ramelow/fragen-antworten?page=0"
"61","Zoe Mayer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/zoe-mayer/fragen-antworten?page=0"
"62","Florian Toncar"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/florian-toncar/fragen-antworten?page=0"
"63","Bettina Hagedorn"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bettina-hagedorn/fragen-antworten?page=0"
"64","Dagmar Schmidt"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/dagmar-schmidt/fragen-antworten?page=0"
"65","Damian Boeselager"," Volt","EU-Parlament","https://www.abgeordnetenwatch.de//profile/damian-boeselager/fragen-antworten?page=0"
"66","Janosch Dahmen"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/janosch-dahmen/fragen-antworten?page=0"
"67","Katja Mast"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/katja-mast/fragen-antworten?page=0"
"68","Sonja Eichwede"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sonja-eichwede/fragen-antworten?page=0"
"69","Martin Dulig"," SPD","Sachsen","https://www.abgeordnetenwatch.de//profile/martin-dulig/fragen-antworten?page=0"
"70","Bijan Djir-Sarai"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/bijan-djir-sarai/fragen-antworten?page=0"
"71","Joe Weingarten"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/joe-weingarten/fragen-antworten?page=0"
"72","Canan Bayram"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/canan-bayram/fragen-antworten?page=0"
"73","Takis Mehmet Ali"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/takis-mehmet-ali/fragen-antworten?page=0"
"74","Heike Baehrens"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/heike-baehrens/fragen-antworten?page=0"
