Name;Party;Parliament;Profile
Zoe Mayer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/zoe-mayer/fragen-antworten?page=0
Florian Toncar; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/florian-toncar/fragen-antworten?page=0
Bettina Hagedorn; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/bettina-hagedorn/fragen-antworten?page=0
Dagmar Schmidt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/dagmar-schmidt/fragen-antworten?page=0
Janosch Dahmen; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/janosch-dahmen/fragen-antworten?page=0
Katja Mast; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/katja-mast/fragen-antworten?page=0
Sonja Eichwede; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/sonja-eichwede/fragen-antworten?page=0
Martin Dulig; SPD;Sachsen;https://www.abgeordnetenwatch.de//profile/martin-dulig/fragen-antworten?page=0
Bijan Djir-Sarai; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/bijan-djir-sarai/fragen-antworten?page=0
Joe Weingarten; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/joe-weingarten/fragen-antworten?page=0
Canan Bayram; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/canan-bayram/fragen-antworten?page=0
Takis Mehmet Ali; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/takis-mehmet-ali/fragen-antworten?page=0
Heike Baehrens; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/heike-baehrens/fragen-antworten?page=0
Michael Theurer; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/michael-theurer/fragen-antworten?page=0
Matthias Mieves; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/matthias-mieves/fragen-antworten?page=0
Reem Alabali-Radovan; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/reem-alabali-radovan/fragen-antworten?page=0
Ariane Fäscher; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/ariane-faescher/fragen-antworten?page=0
Ole Thorben Buschhüter; SPD;Hamburg;https://www.abgeordnetenwatch.de//profile/ole-thorben-buschhueter/fragen-antworten?page=0
Erwin Rüddel; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/erwin-rueddel/fragen-antworten?page=0
Dorothee Martin; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/dorothee-martin/fragen-antworten?page=0
Claudia Raffelhüschen; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/claudia-raffelhueschen/fragen-antworten?page=0
Christoph Ploß; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/christoph-ploss/fragen-antworten?page=0
Paula Piechotta; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/paula-piechotta/fragen-antworten?page=0
Johannes Vogel; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/johannes-vogel/fragen-antworten?page=0
Joana Cotar; parteilos;Bundestag;https://www.abgeordnetenwatch.de//profile/joana-cotar/fragen-antworten?page=0
Sebastian Fiedler; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/sebastian-fiedler/fragen-antworten?page=0
Franziska Brantner; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/franziska-brantner/fragen-antworten?page=0
Michael Kruse; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/michael-kruse/fragen-antworten?page=0
Dirk Heidenblut; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/dirk-heidenblut/fragen-antworten?page=0
Timo Schisanowski; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/timo-schisanowski/fragen-antworten?page=0
Helge Lindh; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/helge-lindh/fragen-antworten?page=0
Nezahat Baradari; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/nezahat-baradari/fragen-antworten?page=0
Armand Zorn; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/armand-zorn/fragen-antworten?page=0
Stefan Gelbhaar; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/stefan-gelbhaar/fragen-antworten?page=0
Christoph de Vries; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/christoph-de-vries/fragen-antworten?page=0
Rita Schwarzelühr-Sutter; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/rita-schwarzeluehr-sutter/fragen-antworten?page=0
Stephan Thomae; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/stephan-thomae/fragen-antworten?page=0
Nese Erikli; Bündnis 90/Die Grünen;Baden-Württemberg;https://www.abgeordnetenwatch.de//profile/nese-erikli/fragen-antworten?page=0
Daniela Ludwig; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/daniela-ludwig/fragen-antworten?page=0
Katharina Beck; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/katharina-beck/fragen-antworten?page=0
Detlef Müller; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/detlef-mueller/fragen-antworten?page=0
Chantal Kopf; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/chantal-kopf/fragen-antworten?page=0
Bengt Bergt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/bengt-bergt/fragen-antworten?page=0
Petra Pau; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/petra-pau/fragen-antworten?page=0
Falko Droßmann; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/falko-drossmann/fragen-antworten?page=0
Ronja Kemmer; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/ronja-kemmer/fragen-antworten?page=0
Nina Scheer; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/nina-scheer/fragen-antworten?page=0
Olaf in der Beek; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/olaf-in-der-beek/fragen-antworten?page=0
Zaklin Nastić; BSW;Bundestag;https://www.abgeordnetenwatch.de//profile/zaklin-nastic/fragen-antworten?page=0
Rosa Domm; Bündnis 90/Die Grünen;Hamburg;https://www.abgeordnetenwatch.de//profile/rosa-domm/fragen-antworten?page=0
Ates Gürpinar; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/ates-guerpinar/fragen-antworten?page=0
Bernhard Herrmann; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/bernhard-herrmann/fragen-antworten?page=0
Roger Beckamp; AfD;Bundestag;https://www.abgeordnetenwatch.de//profile/roger-beckamp/fragen-antworten?page=0
Kerstin Griese; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/kerstin-griese/fragen-antworten?page=0
Alexander Dobrindt; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/alexander-dobrindt/fragen-antworten?page=0
Renate Künast; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/renate-kuenast/fragen-antworten?page=0
Beate Walter-Rosenheimer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/beate-walter-rosenheimer/fragen-antworten?page=0
Daniel Baldy; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/daniel-baldy/fragen-antworten?page=0
Matthias Miersch; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/matthias-miersch/fragen-antworten?page=0
Anke Rehlinger; SPD;Saarland;https://www.abgeordnetenwatch.de//profile/anke-rehlinger/fragen-antworten?page=0
Reinhard Houben; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/reinhard-houben/fragen-antworten?page=0
Marcel Emmerich; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/marcel-emmerich/fragen-antworten?page=0
Metin Hakverdi; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/metin-hakverdi/fragen-antworten?page=0
Aydan Özoğuz; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/aydan-oezoguz/fragen-antworten?page=0
Tino Sorge; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/tino-sorge/fragen-antworten?page=0
Andrea Lindholz; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/andrea-lindholz/fragen-antworten?page=0
Linda Teuteberg; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/linda-teuteberg/fragen-antworten?page=0
Adis Ahmetovic; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/adis-ahmetovic/fragen-antworten?page=0
Julia Verlinden; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/julia-verlinden/fragen-antworten?page=0
Tessa Ganserer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/tessa-ganserer/fragen-antworten?page=0
Stefan Seidler; SSW;Bundestag;https://www.abgeordnetenwatch.de//profile/stefan-seidler/fragen-antworten?page=0
Stephan Pilsinger; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/stephan-pilsinger/fragen-antworten?page=0
Frauke Heiligenstadt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt/fragen-antworten?page=0
Sören Pellmann; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/soeren-pellmann/fragen-antworten?page=0
Stephan Pilsinger; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/stephan-pilsinger/fragen-antworten?page=0
Frauke Heiligenstadt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/frauke-heiligenstadt/fragen-antworten?page=0
Christian Piwarz; CDU;Sachsen;https://www.abgeordnetenwatch.de//profile/christian-piwarz/fragen-antworten?page=0
Helge Braun; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/helge-braun/fragen-antworten?page=0
Tobias B. Bacherle; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/tobias-b-bacherle/fragen-antworten?page=0
Nyke Slawik; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/nyke-slawik/fragen-antworten?page=0
Sabine Friedel; SPD;Sachsen;https://www.abgeordnetenwatch.de//profile/sabine-friedel/fragen-antworten?page=0
Verena Hubertz; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/verena-hubertz/fragen-antworten?page=0
Frank Schäffler; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/frank-schaeffler/fragen-antworten?page=0
Svenja Stadler; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/svenja-stadler/fragen-antworten?page=0
Kathrin Vogler; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/kathrin-vogler/fragen-antworten?page=0
Udo Schiefner; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/udo-schiefner/fragen-antworten?page=0
Bärbel Kofler; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/baerbel-kofler/fragen-antworten?page=0
Katja Hessel; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/katja-hessel/fragen-antworten?page=0
Eva Botzenhart; Bündnis 90/Die Grünen;Hamburg;https://www.abgeordnetenwatch.de//profile/eva-botzenhart/fragen-antworten?page=0
Johannes Arlt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/johannes-arlt/fragen-antworten?page=0
Johannes Arlt; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/johannes-arlt/fragen-antworten?page=0
Jan Dieren; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/jan-dieren/fragen-antworten?page=0
Tanja Machalet; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/tanja-machalet/fragen-antworten?page=0
Jessica Rosenthal; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/jessica-rosenthal/fragen-antworten?page=0
Ulle Schauws; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/ulle-schauws/fragen-antworten?page=0
Olaf Duge; Bündnis 90/Die Grünen;Hamburg;https://www.abgeordnetenwatch.de//profile/olaf-duge/fragen-antworten?page=0
Martina Stamm-Fibich; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/martina-stamm-fibich/fragen-antworten?page=0
Jana Schimke; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/jana-schimke/fragen-antworten?page=0
Judith Skudelny; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/judith-skudelny/fragen-antworten?page=0
Johannes Fechner; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/johannes-fechner/fragen-antworten?page=0
Sven-Christian Kindler; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/sven-christian-kindler/fragen-antworten?page=0
Tobias Lindner; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/tobias-lindner/fragen-antworten?page=0
Uwe Witt; parteilos;Bundestag;https://www.abgeordnetenwatch.de//profile/uwe-witt/fragen-antworten?page=0
Michael Schrodi; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/michael-schrodi/fragen-antworten?page=0
Nils Schmid; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/nils-schmid/fragen-antworten?page=0
Hanna Steinmüller; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/hanna-steinmuller/fragen-antworten?page=0
Till Steffen; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/till-steffen/fragen-antworten?page=0
Katja Keul; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/katja-keul/fragen-antworten?page=0
Nils Schmid; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/nils-schmid/fragen-antworten?page=0
Dennis Rohde; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/dennis-rohde/fragen-antworten?page=0
Astrid Rothe-Beinlich; Bündnis 90/Die Grünen;Thüringen;https://www.abgeordnetenwatch.de//profile/astrid-rothe-beinlich/fragen-antworten?page=0
Markus Herbrand; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/markus-herbrand/fragen-antworten?page=0
Luise Amtsberg; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/luise-amtsberg/fragen-antworten?page=0
Jakob Blankenburg; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/jakob-blankenburg/fragen-antworten?page=0
Oliver Luksic; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/oliver-luksic/fragen-antworten?page=0
Dennis Thering; CDU;Hamburg;https://www.abgeordnetenwatch.de//profile/dennis-thering/fragen-antworten?page=0
Nicole Bauer; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/nicole-bauer/fragen-antworten?page=0
Hannes Walter; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/hannes-walter/fragen-antworten?page=0
Andreas Schwarz; Bündnis 90/Die Grünen;Baden-Württemberg;https://www.abgeordnetenwatch.de//profile/andreas-schwarz-0/fragen-antworten?page=0
Sören Bartol; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/soeren-bartol/fragen-antworten?page=0
Gökay Akbulut; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/goekay-akbulut/fragen-antworten?page=0
Jan Korte; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/jan-korte/fragen-antworten?page=0
Stephanie Aeffner; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/stephanie-aeffner/fragen-antworten?page=0
Saskia Weishaupt; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/saskia-weishaupt/fragen-antworten?page=0
Malte Kaufmann; AfD;Bundestag;https://www.abgeordnetenwatch.de//profile/malte-kaufmann/fragen-antworten?page=0
Siemtje Möller; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/siemtje-moeller/fragen-antworten?page=0
Julia Willie Hamburg; Bündnis 90/Die Grünen;Niedersachsen;https://www.abgeordnetenwatch.de//profile/julia-willie-hamburg/fragen-antworten?page=0
Agnieszka Brugger; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/agnieszka-brugger/fragen-antworten?page=0
Merle Spellerberg; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/merle-spellerberg/fragen-antworten?page=0
Yvonne Magwas; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/yvonne-magwas/fragen-antworten?page=0
Janine Wissler; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/janine-wissler/fragen-antworten?page=0
Ria Schröder; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/ria-schroeder/fragen-antworten?page=0
Kathrin Henneberger; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/kathrin-henneberger/fragen-antworten?page=0
Renata Alt; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/renata-alt/fragen-antworten?page=0
Sabine Dittmar; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/sabine-dittmar/fragen-antworten?page=0
Macit Karaahmetoğlu; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/macit-karaahmetoglu/fragen-antworten?page=0
Otto Fricke; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/otto-fricke/fragen-antworten?page=0
Oliver Hildenbrand; Bündnis 90/Die Grünen;Baden-Württemberg;https://www.abgeordnetenwatch.de//profile/oliver-hildenbrand/fragen-antworten?page=0
Claudia Moll; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/claudia-moll/fragen-antworten?page=0
Jan Plobner; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/jan-plobner/fragen-antworten?page=0
Christos Pantazis; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/christos-pantazis/fragen-antworten?page=0
Thomas Heilmann; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/thomas-heilmann/fragen-antworten?page=0
Axel Echeverria; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/axel-echeverria/fragen-antworten?page=0
Johann Wadephul; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/johann-wadephul/fragen-antworten?page=0
Franziska Giffey; SPD;Berlin;https://www.abgeordnetenwatch.de//profile/franziska-giffey/fragen-antworten?page=0
Michael Kellner; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/michael-kellner/fragen-antworten?page=0
Johann Wadephul; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/johann-wadephul/fragen-antworten?page=0
Franziska Giffey; SPD;Berlin;https://www.abgeordnetenwatch.de//profile/franziska-giffey/fragen-antworten?page=0
Carsten Träger; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/carsten-traeger/fragen-antworten?page=0
Isabel Cademartori; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/isabel-cademartori/fragen-antworten?page=0
Kai Gehring; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/kai-gehring/fragen-antworten?page=0
Stefan Schmidt; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/stefan-schmidt/fragen-antworten?page=0
Harald Ebner; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/harald-ebner/fragen-antworten?page=0
Simona Koß; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/simona-koss/fragen-antworten?page=0
Valentin Lippmann; Bündnis 90/Die Grünen;Sachsen;https://www.abgeordnetenwatch.de//profile/valentin-lippmann/fragen-antworten?page=0
Wolfgang Stefinger; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/wolfgang-stefinger/fragen-antworten?page=0
Björn Simon; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/bjoern-simon/fragen-antworten?page=0
Sebastian Hartmann; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/sebastian-hartmann/fragen-antworten?page=0
Karamba Diaby; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/karamba-diaby/fragen-antworten?page=0
Bernhard Loos; CSU;Bundestag;https://www.abgeordnetenwatch.de//profile/bernhard-loos/fragen-antworten?page=0
Bernd Westphal; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/bernd-westphal/fragen-antworten?page=0
Frank Bsirske; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/frank-bsirske/fragen-antworten?page=0
Edgar Franke; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/edgar-franke/fragen-antworten?page=0
Philip Krämer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/philip-kraemer/fragen-antworten?page=0
Annika Klose; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/annika-klose/fragen-antworten?page=0
